system_machine_image_name,builder_resource_name,prefix
Google Cloud - Ubuntu 14.04 - v6.9.4,v694_u14_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 14.04 - v6.8.4,v684_u14_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 14.04 - v6.7.4,v674_u14_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 14.04 - v6.6.4,v664_u14_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 14.04 - v6.5.4,v654_u14_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 14.04 - v6.4.4,v644_u14_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 14.04 - v6.3.4,v634_u14_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 14.04 - v6.2.4,v624_u14_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 14.04 - v6.1.4,v614_u14_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 14.04 - v5.10.4,v5104_u14_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 14.04 - v5.8.2,v582_u14_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 16.04 - v6.8.4,v684_u16_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 16.04 - v6.7.4,v674_u16_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 16.04 - v6.6.4,v664_u16_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 16.04 - v6.5.4,v654_u16_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 16.04 - v6.4.4,v644_u16_x8664_gce_img,ship-bits/
Google Cloud - Ubuntu 16.04 - v6.3.4,v634_u16_x8664_gce_img,ship-bits/
Google Cloud - CentOS 7 - v6.9.4,v694_c7_x8664_gce_img,ship-bits/
Google Cloud - CentOS 7 - v6.8.4,v684_c7_x8664_gce_img,ship-bits/
Google Cloud - CentOS 7 - v6.7.4,v674_c7_x8664_gce_img,ship-bits/
Google Cloud - CentOS 7 - v6.6.4,v664_c7_x8664_gce_img,ship-bits/
Google Cloud - CentOS 7 - v6.5.4,v654_c7_x8664_gce_img,ship-bits/
Google Cloud - CentOS 7 - v6.4.4,v644_c7_x8664_gce_img,ship-bits/
Google Cloud - CentOS 7 - v6.3.4,v634_c7_x8664_gce_img,ship-bits/
